B (mT),"T1 no HSA, s","T1 no HSA, s","Ts no HSA, s","Ts no HSA, s","T1 HSA50, s","T1 HSA50, s","Ts HSA50, s","Ts HSA50, s","T1 HSA100, s","T1 HSA100, s","Ts HSA100, s","Ts HSA100, s","T1 HSA200, s","T1 HSA200, s","Ts HSA200, s","Ts HSA200, s","T1 HSA300, s","T1 HSA300, s","Ts HSA300, s","T1 HSA300, s","T1 HSA200TSP, s","T1 HSA200TSP, s","Ts HSA200TSP, s","Ts HSA200TSP, s"
0.004,1.49084232025048,0.055777341861266,13.57388419956,0.317820711440005,1.31946155345858,0.0498766239443029,11.9043198033672,0.121260871137741,1.22124928013676,0.0651811137891251,9.48889450611706,0.236622279185495,1.14117718073145,0.073625943980446,7.71638360170412,0.207188898012189,0.819117739905069,0.0471796908995209,6.38033907579019,0.169131088867979,1.3476103197547,0.0446727859527716,12.82222,0.1489
0.0101,1.52932242894241,0.0427916022101878,13.8108178615216,0.399783049702964,1.37968272059595,0.0414618733935152,11.8360035308022,0.241396563459021,1.24832118383943,0.0570332473420961,10.9882821941101,0.603374378653237,1.02739754783186,0.0618692143074137,7.83761308922983,0.173569788376744,0.840466372915047,0.0282731578390489,6.80641059873665,0.126323089341106,1.34777364534218,0.0399072437636708,12.48677,0.21801
0.0253,1.50740876059178,0.0318062504505703,14.2465708237801,0.529602554371698,1.40609981249775,0.0443689275868173,12.0926834524937,0.327097671513887,1.22373776046985,0.0393822187161591,10.4515219977625,0.350447373099135,1.04525927858597,0.0548435380479181,8.79784766052919,0.211883706609483,0.888785243192592,0.0389705265293302,7.39543955572061,0.157326607527646,1.32263459582071,0.0359458019659698,13.34494,0.26542
0.0635,1.45729045634855,0.0281139059541374,14.0631206569661,0.197692060119193,1.42802997246408,0.022598553583223,12.2072436114162,0.244460990392401,1.31342787520404,0.0309982361579545,10.2252353135594,0.620277900282416,1.15153454017527,0.0365151679260046,9.10775965712631,0.17804647757595,1.06803134095633,0.0222550223948663,8.04435816757022,0.347112352763685,1.3148460160244,0.0242253388738787,13.42096,0.38513
0.1596,1.4491558546589,0.020028575311605,12.6058859532083,0.319319590120346,1.49032224590863,0.0330620426375352,13.6199125653267,0.402535293621519,1.43303111450849,0.0220777986003352,11.1509951006625,0.464156950840721,1.33419924474392,0.0356463037053478,10.1222932506009,0.387993465160082,1.25656663885513,0.0158985018805156,9.47345870790625,0.347716343380482,1.36859598687174,0.0204237661934639,12.84926,0.53808
0.4011,1.41044495108554,0.0125452401589815,13.5190713582702,0.216834832486762,1.5034107118834,0.0310840455483586,13.3390064667792,0.197139452902231,1.4321182496756,0.0232873956504929,12.4721292004988,0.50977839062086,1.43890720677772,0.0335616449528858,11.3499738236255,0.323917079188391,1.36029008239081,0.0237381981509915,10.4072773606726,0.304468789575934,1.36264323000462,0.0127223106288388,14.63776,0.40591
1.0079,1.51744160266472,0.0141277312868953,13.3517765342987,0.226447586719369,1.56984725727277,0.0233063196659458,12.8913983669731,0.450168393100081,1.53401162786368,0.0194840420853366,11.7000973820114,0.530674990322985,1.54442796513131,0.0268661636165794,10.1778745542535,0.515062150738898,1.45864438814314,0.0191298908911932,9.9908055650039,0.374345884492594,1.45677424964088,0.0158647580893556,13.23357,0.35166
2.5332,1.55466858833328,0.0138923480891242,8.98029533652825,0.34598592070405,1.63898863302037,0.0205258715380313,9.73896998062434,0.323594729458445,1.57201994685191,0.0164225696454476,8.99292357652537,0.240728829791036,1.55352037327631,0.022430824640373,8.51157301111997,0.177510781302022,1.56171886444151,0.0207858909411165,7.61574493585377,0.122292741324749,1.4973509165605,0.0112566106557754,8.42526,0.38596
6.3664,1.58663080516114,0.00970497348074199,4.55818220794795,0.13195436801581,1.64216998470929,0.0121897252628674,6.04283768571325,0.269750803321702,1.66133269875465,0.0154733170191387,5.07153435957529,0.216551084507642,1.60070601963478,0.021641143767225,4.82085123416226,0.263933764042506,1.59524670214775,0.0217384932673575,4.48348410700358,0.305416780105676,1.55619841893446,0.00942858222761876,3.01938,0.16141
16,1.71879065706292,0.0114331795855194,2.54919948630293,0.122386959340873,1.79094050719035,0.0147730280776708,4.69031609333514,0.329579072685425,1.74156816756724,0.0186218357149279,3.44462832998837,0.318676341672274,1.76759095643841,0.0197313367899984,3.75385402897346,0.270050135858784,1.73130378504007,0.0142133296541083,4.05072652199661,0.334273783947773,1.7195088811749,0.0105911847200826,1.59265,0.11845
