Field in T,CH3,CH3,CH2at06ppm,CH2at06ppm,CH2at17ppmT1,CH2at17ppmT1,CH2at28ppmT1,CH2at28ppmT1,
0.004,1.17903642950328,0.00699811920932665,0.402990407720599,0.0277897539511409,0.439021166399244,0.0379772827957438,0.426136510218808,0.033176222502765,
0.0101,1.26740818604989,0.00728229282112715,0.421617723412801,0.0109765323885964,0.434011744921165,0.0163594842687923,0.428933975646637,0.0123595884977113,
0.0253,1.54274673378209,0.00982757730807385,0.538101235539979,0.00624031556813773,0.543455091936964,0.00969658254223906,0.528938402124821,0.00741772679026534,
0.0635,2.2069149093359,0.0152896851177188,0.916992162075555,0.00763242289611256,0.926128296468407,0.00885069245520102,0.900459960073109,0.0069408755967858,
0.1596,2.9945850350757,0.0246670316128781,1.50307458606222,0.0136478801760346,1.49831843211393,0.0131963913432843,1.46705336432281,0.011451641570955,
0.4011,3.51089351570546,0.0313072833888222,1.9933713013102,0.0122661480255844,2.0030262298005,0.0153454892271993,1.96519882370913,0.0121681410233365,
1.0079,3.96149011821842,0.0290647959834253,2.28281419936804,0.0146005267024809,2.31480579434592,0.0133938182648624,2.31156245714141,0.0160112318577863,
2.5332,4.28842241057914,0.0406018020747651,2.42790195776479,0.0171895170791088,2.51099977436313,0.0169868558376171,2.44867236009678,0.0177886398382134,
6.3664,4.60962378735766,0.0599125300490919,2.61936446700799,0.0250651625032123,2.69572346568721,0.0303295428461523,2.6296829065716,0.0269436500158281,
16,4.92712456803247,0.0745743379860514,2.85863058851641,0.0305787444405656,2.90736284185963,0.0361769010336203,2.85758135674921,0.0310567904710138,
